"metric","time_period","end_timestamp","value","created_date"
"website_clicks","day","2021-09-26 07:00:00+00",0,"2021-09-27 12:00:39.617433+00"
"follower_count","day","2021-09-27 07:00:00+00",0,"2021-09-28 12:01:02.806014+00"
"impressions","day","2021-09-27 07:00:00+00",1031,"2021-09-28 12:01:02.806014+00"
"profile_views","day","2021-09-27 07:00:00+00",35,"2021-09-28 12:01:02.806014+00"
"reach","day","2021-09-27 07:00:00+00",497,"2021-09-28 12:01:02.806014+00"
"website_clicks","day","2021-09-27 07:00:00+00",1,"2021-09-28 12:01:02.806014+00"
"follower_count","day","2021-09-28 07:00:00+00",0,"2021-09-29 12:00:38.996347+00"
"impressions","day","2021-09-28 07:00:00+00",1122,"2021-09-29 12:00:38.996347+00"
"profile_views","day","2021-09-28 07:00:00+00",33,"2021-09-29 12:00:38.996347+00"
"reach","day","2021-09-28 07:00:00+00",551,"2021-09-29 12:00:38.996347+00"
"website_clicks","day","2021-09-28 07:00:00+00",1,"2021-09-29 12:00:38.996347+00"
"follower_count","day","2021-09-30 07:00:00+00",0,"2021-10-01 12:00:36.972984+00"
"impressions","day","2021-09-30 07:00:00+00",4566,"2021-10-01 12:00:36.972984+00"
"profile_views","day","2021-09-30 07:00:00+00",50,"2021-10-01 12:00:36.972984+00"
"reach","day","2021-09-30 07:00:00+00",4487,"2021-10-01 12:00:36.972984+00"
"website_clicks","day","2021-09-30 07:00:00+00",0,"2021-10-01 12:00:36.972984+00"
